iter	Logloss
0	0.6826817877
1	0.6728241639
2	0.6644344785
3	0.6579934033
4	0.652097043
5	0.6458568519
6	0.6404637802
7	0.635272156
8	0.6316531446
9	0.6280046845
10	0.6249847557
11	0.6213582636
12	0.6188794273
13	0.6166839436
14	0.6139890275
15	0.6115394531
16	0.6094744022
17	0.6083338281
18	0.6071827293
19	0.6059921283
20	0.6041420892
21	0.6032798901
22	0.6023079157
23	0.6012033959
24	0.5998959582
25	0.5990730427
26	0.5983320392
27	0.5970601518
28	0.5963805472
29	0.5955380892
30	0.5947125981
31	0.5936281557
32	0.5929183579
33	0.5920630693
34	0.5914780528
35	0.5909714246
36	0.5905276046
37	0.5901249043
38	0.5897405144
39	0.5893899095
40	0.5888954496
41	0.5884255963
42	0.5878289358
43	0.5874389501
44	0.5870825616
45	0.5867833132
46	0.5865343279
47	0.5861132534
48	0.5858818935
49	0.5856874149
50	0.5854216186
51	0.5851208839
52	0.5848895202
53	0.5845014718
54	0.5842995433
55	0.5840307087
56	0.583845933
57	0.5837302884
58	0.5834731341
59	0.5832287905
60	0.5830384203
61	0.5828699787
62	0.5826841103
63	0.5825401033
64	0.5823985581
65	0.582235203
66	0.5821025914
67	0.5819261998
68	0.5817698533
69	0.5816311295
70	0.5814482869
71	0.5813403906
72	0.5812254626
73	0.5811395504
74	0.5810174714
75	0.5808925864
76	0.5807527556
77	0.5806726422
78	0.5805842132
79	0.5804712703
80	0.5803740758
81	0.5802837363
82	0.5801937246
83	0.580002493
84	0.5799394109
85	0.5798620668
86	0.5797843939
87	0.5796746015
88	0.5795716941
89	0.579490164
90	0.5794377753
91	0.5793400605
92	0.5792725275
93	0.579100216
94	0.5790457997
95	0.5789484672
96	0.5787734425
97	0.5787249917
98	0.5786723207
99	0.5785369858
100	0.5784726164
101	0.5784152306
102	0.5783453705
103	0.578291356
104	0.5782455137
105	0.5781165363
106	0.5780609829
107	0.578030729
108	0.5779763077
109	0.5779427318
110	0.57789051
111	0.577809722
112	0.5777009982
113	0.5776410661
114	0.5775365853
115	0.5774970122
116	0.577443471
