iter	Passed	Remaining
0	67	100686
1	130	97973
2	184	92005
3	245	91983
4	300	89971
5	371	92573
6	426	91005
7	485	90525
8	549	90982
9	603	89958
10	656	88850
11	707	87675
12	769	88059
13	828	87926
14	881	87279
15	939	87167
16	996	86899
17	1043	85925
18	1096	85446
19	1150	85168
20	1205	84920
21	1255	84322
22	1315	84468
23	1368	84185
24	1419	83759
25	1470	83363
26	1530	83480
27	1585	83376
28	1641	83285
29	1695	83098
30	1742	82575
31	1801	82623
32	1859	82664
33	1917	82659
34	1972	82546
35	2025	82372
36	2071	81911
37	2124	81752
38	2177	81587
39	2233	81527
40	2289	81477
41	2337	81149
42	2384	80803
43	2443	80850
44	2500	80838
45	2555	80776
46	2613	80787
47	2668	80733
48	2724	80664
49	2776	80506
50	2823	80214
51	2870	79927
52	2923	79830
53	2976	79693
54	3032	79673
55	3090	79683
56	3142	79546
57	3179	79038
58	3230	78907
59	3285	78846
60	3342	78858
61	3394	78732
62	3443	78541
63	3499	78526
64	3549	78358
65	3603	78301
66	3661	78305
67	3713	78202
68	3764	78062
69	3811	77853
70	3867	77841
71	3919	77727
72	3964	77496
73	4017	77415
74	4070	77336
75	4120	77196
76	4175	77168
77	4227	77076
78	4283	77046
79	4326	76793
80	4377	76695
81	4420	76450
82	4469	76299
83	4518	76171
84	4567	76030
85	4615	75879
86	4664	75764
87	4723	75788
88	4778	75764
89	4828	75649
90	4878	75536
91	4930	75456
92	4985	75419
93	5040	75385
94	5099	75412
95	5153	75372
96	5211	75378
97	5263	75296
98	5312	75175
99	5370	75188
100	5425	75152
101	5481	75126
102	5543	75183
103	5591	75053
104	5641	74951
105	5689	74818
106	5748	74837
107	5806	74845
108	5860	74786
109	5918	74785
110	5964	74633
111	6014	74540
112	6066	74467
113	6124	74466
114	6172	74343
115	6225	74271
116	6278	74209
117	6331	74154
118	6379	74035
119	6431	73963
120	6487	73940
121	6542	73903
122	6592	73807
123	6641	73694
124	6690	73592
125	6743	73533
126	6798	73502
127	6847	73396
128	6905	73390
129	6963	73384
130	7017	73336
131	7071	73287
132	7131	73301
133	7187	73270
134	7242	73226
135	7305	73268
136	7357	73202
137	7415	73190
138	7464	73083
139	7526	73116
140	7583	73093
141	7634	73015
142	7684	72921
143	7734	72833
144	7781	72720
145	7837	72683
146	7888	72602
147	7938	72522
148	7988	72430
149	8049	72443
150	8103	72391
151	8158	72352
152	8212	72300
153	8268	72272
154	8325	72246
155	8385	72241
156	8438	72187
157	8498	72187
158	8552	72130
159	8606	72078
160	8656	71992
161	8711	71954
162	8759	71848
163	8804	71720
164	8863	71710
165	8919	71675
166	8967	71582
167	9012	71459
168	9065	71396
169	9111	71287
170	9162	71208
171	9212	71125
172	9261	71042
173	9317	71006
174	9371	70952
175	9429	70931
176	9493	70959
177	9545	70891
178	9595	70810
179	9654	70798
180	9709	70757
181	9768	70744
182	9821	70683
183	9880	70670
184	9933	70611
185	9986	70551
186	10038	70485
187	10098	70474
188	10159	70468
189	10215	70429
190	10269	70379
191	10330	70378
192	10386	70337
193	10448	70341
194	10516	70379
195	10579	70385
196	10636	70348
197	10688	70286
198	10743	70236
199	10786	70113
200	10849	70114
201	10912	70119
202	10970	70094
203	11023	70030
204	11080	69994
205	11138	69965
206	11196	69940
207	11248	69871
208	11304	69830
209	11366	69824
210	11423	69789
211	11476	69723
212	11534	69694
213	11587	69636
214	11690	69873
215	11748	69837
216	11808	69815
217	11853	69709
218	11909	69662
219	11967	69627
220	12021	69571
221	12076	69519
222	12136	69499
223	12185	69416
224	12243	69378
225	12294	69307
226	12340	69207
227	12388	69114
228	12443	69063
229	12503	69040
230	12558	68990
231	12613	68939
232	12671	68906
233	12730	68876
234	12788	68841
235	12845	68802
236	12898	68740
237	12951	68673
238	13009	68637
239	13069	68617
240	13124	68562
241	13172	68476
242	13229	68435
243	13280	68360
244	13334	68305
245	13394	68277
246	13448	68223
247	13512	68218
248	13583	68246
249	13633	68169
250	13690	68126
251	13731	68005
252	13781	67924
253	13832	67856
254	13891	67820
255	13940	67742
256	13994	67686
257	14044	67607
258	14094	67535
259	14157	67521
260	14214	67480
261	14275	67452
262	14327	67387
263	14385	67348
264	14437	67284
265	14493	67237
266	14541	67153
267	14572	66990
268	14626	66935
269	14683	66890
270	14737	66833
271	14798	66809
272	14851	66749
273	14899	66666
274	14952	66605
275	14995	66503
276	15054	66468
277	15107	66408
278	15164	66365
279	15221	66322
280	15275	66268
281	15312	66136
282	15366	66082
283	15424	66043
284	15488	66030
285	15541	65971
286	15583	65863
287	15641	65824
288	15702	65798
289	15738	65667
290	15802	65653
291	15854	65590
292	15878	65412
293	15928	65338
294	15952	65162
295	15979	64998
296	16037	64960
297	16090	64901
298	16143	64845
299	16190	64763
300	16244	64709
301	16296	64646
302	16352	64601
303	16407	64551
304	16465	64512
305	16525	64481
306	16576	64416
307	16629	64357
308	16683	64304
309	16728	64215
310	16779	64151
311	16830	64086
312	16887	64043
313	16938	63976
314	16985	63896
315	17042	63854
316	17103	63826
317	17150	63749
318	17207	63706
319	17266	63670
320	17316	63602
321	17368	63541
322	17424	63495
323	17485	63466
324	17541	63420
325	17602	63391
326	17660	63351
327	17713	63292
328	17771	63254
329	17827	63205
330	17888	63176
331	17947	63141
332	18000	63083
333	18054	63027
334	18112	62988
335	18170	62948
336	18222	62887
337	18278	62837
338	18334	62790
339	18393	62754
340	18452	62716
341	18504	62656
342	18558	62601
343	18607	62531
344	18664	62484
345	18713	62413
346	18765	62353
347	18819	62300
348	18868	62227
349	18918	62161
350	18970	62098
351	19017	62021
352	19071	61968
353	19127	61920
354	19182	61871
355	19243	61838
356	19293	61771
357	19345	61710
358	19392	61634
359	19447	61583
360	19496	61514
361	19550	61460
362	19609	61420
363	19668	61382
364	19715	61307
365	19767	61248
366	19810	61160
367	19864	61104
368	19915	61042
369	19962	60968
370	20024	60937
371	20070	60858
372	20122	60798
373	20175	60742
374	20229	60688
375	20282	60632
376	20333	60569
377	20388	60519
378	20444	60469
379	20497	60414
380	20553	60364
381	20603	60299
382	20663	60265
383	20721	60223
384	20780	60182
385	20830	60116
386	20854	59976
387	20905	59914
388	20929	59775
389	20990	59740
390	21048	59700
391	21107	59659
392	21158	59599
393	21197	59504
394	21252	59454
395	21311	59413
396	21365	59360
397	21420	59308
398	21485	59286
399	21543	59244
400	21596	59188
401	21648	59128
402	21700	59069
403	21761	59037
404	21807	58961
405	21858	58898
406	21905	58826
407	21961	58780
408	22017	58730
409	22073	58683
410	22133	58646
411	22195	58612
412	22247	58555
413	22305	58510
414	22356	58451
415	22408	58392
416	22468	58354
417	22518	58289
418	22571	58233
419	22622	58173
420	22674	58114
421	22732	58069
422	22785	58013
423	22838	57958
424	22891	57901
425	22945	57848
426	22998	57793
427	23052	57739
428	23110	57696
429	23162	57637
430	23213	57576
431	23261	57506
432	23314	57450
433	23368	57398
434	23428	57359
435	23493	57331
436	23543	57269
437	23604	57232
438	23660	57184
439	23708	57114
440	23763	57065
441	23817	57011
442	23873	56961
443	23923	56899
444	23981	56853
445	24035	56801
446	24087	56743
447	24143	56693
448	24201	56649
449	24254	56594
450	24310	56544
451	24364	56491
452	24418	56437
453	24473	56385
454	24538	56356
455	24587	56293
456	24641	56239
457	24697	56190
458	24750	56134
459	24805	56083
460	24862	56035
461	24915	55979
462	24967	55919
463	25026	55878
464	25078	55818
465	25134	55771
466	25190	55721
467	25244	55667
468	25301	55620
469	25359	55575
470	25419	55533
471	25474	55482
472	25525	55423
473	25582	55375
474	25636	55321
475	25751	55398
476	25810	55354
477	25857	55286
478	25907	55222
479	25965	55176
480	26020	55124
481	26071	55064
482	26131	55022
483	26186	54969
484	26244	54924
485	26296	54866
486	26349	54809
487	26401	54749
488	26463	54713
489	26516	54656
490	26571	54605
